Importador (prob.),A¤oMes,Pais Origen,Cond. Venta,Kg. Netos,Divisa,Flete Dolares,Seguro D¢lar,Estado dela mercaderia,Cantidad declarada,Precio Unitario en Divisa,Fob total en divisa,Precio Unitario en dolares,Fob total en dolares,Cif Total en dolares,Marca EDIT,Marca Modelo Edit,TIPO,Applicable carrier weight,Segmento
TRACK MAR SACI,201803,Italia,FOB,11296.44,DOLAR ESTADOUNIDENSE,145.35,131.65,NUEVO SIN USO IMPORTADO,2,7294.62,14589.24,7294.62,14589.24,14866.24,ITR,ITR UEH1000PSA,Martillo hidraulico,12.0  - 23.0,02. Mediana
TRACK MAR SACI,201803,Italia,FOB,11296.44,DOLAR ESTADOUNIDENSE,145.35,131.65,NUEVO SIN USO IMPORTADO,2,2407.22,4814.45,2407.22,4814.45,5091.45,ITR,ITR UEH1000PSA,Martillo hidraulico,12.0  - 23.0,02. Mediana
TRACK MAR SACI,201803,Italia,FOB,11296.44,DOLAR ESTADOUNIDENSE,145.35,131.65,NUEVO SIN USO IMPORTADO,2,11489.02,22978.05,11489.02,22978.05,23255.05,ITR,ITR UEH1000PSA,Martillo hidraulico,12.0  - 23.0,02. Mediana
TRACK MAR SACI,201803,Italia,FOB,11296.44,DOLAR ESTADOUNIDENSE,145.35,131.65,NUEVO SIN USO IMPORTADO,2,4777.97,9555.94,4777.97,9555.94,9832.94,ITR,ITR UEH1000PSA,Martillo hidraulico,12.0  - 23.0,02. Mediana
TECMACO INTEGRAL  S A,201803,Corea Republicana,FOB,12040.8,DOLAR ESTADOUNIDENSE,125.27,14.24,NUEVO SIN USO IMPORTADO,2,6920,13840,6920,13840,13979.51,POQUTEC,POQUTEC PBV100,Martillo hidraulico,9.0 - 16.0,02. Mediana
GRUAS SAN BLAS S A,201803,EE.UU.,FOB,46936.5,DOLAR ESTADOUNIDENSE,529,544.79,NUEVO SIN USO IMPORTADO,10,5395,53950,5395,53950,55023.79,STANLEY,STANLEY MB05,Martillo hidraulico,2.3 - 6.0,01. Chicas
TECMACO INTEGRAL  S A,201803,Corea Republicana,FOB,30249.9,DOLAR ESTADOUNIDENSE,314.73,35.76,NUEVO SIN USO IMPORTADO,3,11590,34770,11590,34770,35120.49,POQUTEC,POQUTEC PBV180A,Martillo hidraulico,18.0 - 25.0,03. Grande
TECMACO INTEGRAL  S A,201803,Corea Republicana,FOB,6150,DOLAR ESTADOUNIDENSE,314.73,35.76,NUEVO SIN USO IMPORTADO,3,11590,34770,11590,34770,35120.49,POQUTEC,POQUTEC PBV180A,Martillo hidraulico,18.0 - 25.0,03. Grande
TECMACO INTEGRAL  S A,201803,Corea Republicana,FOB,1900,DOLAR ESTADOUNIDENSE,125.27,14.24,NUEVO SIN USO IMPORTADO,2,6920,13840,6920,13840,13979.51,POQUTEC,POQUTEC PBV100,Martillo hidraulico,9.0 - 16.0,02. Mediana
TRACK MAR SACI,201803,EE.UU.,FOB,5166.05,DOLAR ESTADOUNIDENSE,66.16,60.04,NUEVO SIN USO IMPORTADO,1,6738.65,6738.65,6738.65,6738.65,6864.85,STANLEY,STANLEY MB556,Martillo hidraulico,3.2 - 7.2,01. Chicas
TRACK MAR SACI,201803,EE.UU.,FOB,10332.09,DOLAR ESTADOUNIDENSE,132.31,120.08,NUEVO SIN USO IMPORTADO,2,5537.65,11075.3,5537.65,11075.3,11327.69,STANLEY,STANLEY MB556,Martillo hidraulico,3.2 - 7.2,01. Chicas
TERCEC SRL,201803,Italia,FOB,4629.22,EURO,5.17,30.31,NUEVO SIN USO IMPORTADO,1,4320,4320,5320.94,5320.94,5356.42,OSA,OSA HB580,Martillo hidraulico,7.0 - 14.0,02. Mediana
TERCEC SRL,201803,Italia,FOB,29789.86,EURO,33.29,195.02,NUEVO SIN USO IMPORTADO,10,2780,27800,3424.122,34241.22,34469.53,OSA,OSA HB250,Martillo hidraulico,3.5 - 5.0,01. Chicas
GRUAS SAN BLAS S A,201803,EE.UU.,FOB,3618.09,DOLAR ESTADOUNIDENSE,30.59,41.95,NUEVO SIN USO IMPORTADO,6,693.12,4158.72,693.12,4158.72,4231.26,BOBCAT,BOBCAT HB2380,Martillo hidraulico,6.0 - 15.0,02. Mediana
VIALFE SRL,201803,Italia,FOB,2643.33,EURO,3.84,16.08,NUEVO SIN USO IMPORTADO,1,1725,1725,2133.99,2133.99,2153.91,HAMMER,HAMMER SB150,Martillo hidraulico,1.5 - 5.5,01. Chicas
VIALFE SRL,201803,Italia,FOB,5286.66,EURO,7.68,32.16,NUEVO SIN USO IMPORTADO,2,2370,4740,2931.92,5863.84,5903.68,HAMMER,HAMMER SB150,Martillo hidraulico,1.5 - 5.5,01. Chicas
VIALFE SRL,201803,Italia,FOB,2643.33,EURO,3.84,16.08,NUEVO SIN USO IMPORTADO,1,2715,2715,3358.72,3358.72,3378.64,HAMMER,HAMMER SB150,Martillo hidraulico,1.5 - 5.5,01. Chicas
VIALFE SRL,201803,Italia,FOB,2643.33,EURO,3.84,16.08,NUEVO SIN USO IMPORTADO,1,3100,3100,3835,3835,3854.92,HAMMER,HAMMER SB150,Martillo hidraulico,1.5 - 5.5,01. Chicas
GRUAS SAN BLAS S A,201803,Francia,FOB,15570.87,DOLAR ESTADOUNIDENSE,131.65,180.55,NUEVO SIN USO IMPORTADO,3,5965.85,17897.55,5965.85,17897.55,18209.75,BOBCAT,BOBCAT HB1180,Martillo hidraulico,4.0 - 5.0,01. Chicas
ANGEL MASCIOTRA SOCIEDAD ANONIMA,201803,Corea Republicana,FOB,9425,DOLAR ESTADOUNIDENSE,78.5,109.12,NUEVO SIN USO IMPORTADO,1,19000,19000,19000,19000,19187.62,DAEMO,DAEMO B230,Martillo hidraulico,18.0 - 25.0,03. Grande
ANGEL MASCIOTRA SOCIEDAD ANONIMA,201803,Corea Republicana,FOB,9425,DOLAR ESTADOUNIDENSE,78.5,109.12,NUEVO SIN USO IMPORTADO,1,6200,6200,6200,6200,6387.62,DAEMO,DAEMO B230,Martillo hidraulico,18.0 - 25.0,03. Grande
ANGEL MASCIOTRA SOCIEDAD ANONIMA,201803,Corea Republicana,FOB,9425,DOLAR ESTADOUNIDENSE,78.5,109.12,NUEVO SIN USO IMPORTADO,1,7300,7300,7300,7300,7487.62,DAEMO,DAEMO B230,Martillo hidraulico,18.0 - 25.0,03. Grande
MULLER MARTIN ALEJANDRO,201804,Corea Republicana,FOB,3726.12,DOLAR ESTADOUNIDENSE,67.46,43.5,NUEVO SIN USO IMPORTADO,1,3282.91,3282.91,3282.91,3282.91,3393.87,DAEMO,DAEMO B50,Martillo hidraulico,3.0 - 6.0,01. Chicas
MULLER MARTIN ALEJANDRO,201804,Corea Republicana,FOB,3726.12,DOLAR ESTADOUNIDENSE,67.46,43.5,NUEVO SIN USO IMPORTADO,1,4107.87,4107.87,4107.87,4107.87,4218.83,DAEMO,DAEMO B50,Martillo hidraulico,3.0 - 6.0,01. Chicas
MULLER MARTIN ALEJANDRO,201804,Corea Republicana,FOB,3726.12,DOLAR ESTADOUNIDENSE,67.46,43.5,NUEVO SIN USO IMPORTADO,1,6457.91,6457.91,6457.91,6457.91,6568.87,DAEMO,DAEMO B50,Martillo hidraulico,3.0 - 6.0,01. Chicas
MULLER MARTIN ALEJANDRO,201804,Corea Republicana,FOB,3726.12,DOLAR ESTADOUNIDENSE,67.46,43.5,NUEVO SIN USO IMPORTADO,1,3282.91,3282.91,3282.91,3282.91,3393.87,DAEMO,DAEMO B50,Martillo hidraulico,3.0 - 6.0,01. Chicas
GRUMAQ S R L,201804,Corea Republicana,FOB,10048.5,DOLAR ESTADOUNIDENSE,223.2,40,NUEVO SIN USO IMPORTADO,3,3850,11550,3850,11550,11813.2,POQUTEC,POQUTEC PBS 80BHL,Martillo hidraulico,4.0 - 10,01. Chicas
HEROVIAL SRL,201804,Corea Republicana,FOB,15469.47,DOLAR ESTADOUNIDENSE,966.67,187.48,NUEVO SIN USO IMPORTADO,4,3715,14860,3715,14860,16014.15,KOMAC,KOMAC KB200SL,Martillo hidraulico,1.2 - 4.0,01. Chicas
HEROVIAL SRL,201804,Corea Republicana,FOB,7734.74,DOLAR ESTADOUNIDENSE,483.33,93.74,NUEVO SIN USO IMPORTADO,2,4593,9186,4593,9186,9763.07,KOMAC,KOMAC KB200SL,Martillo hidraulico,1.2 - 4.0,01. Chicas
HEROVIAL SRL,201804,Corea Republicana,FOB,19336.84,DOLAR ESTADOUNIDENSE,1208.33,234.35,NUEVO SIN USO IMPORTADO,5,4770,23850,4770,23850,25292.68,KOMAC,KOMAC KB200SL,Martillo hidraulico,1.2 - 4.0,01. Chicas
HEROVIAL SRL,201804,Corea Republicana,FOB,3867.37,DOLAR ESTADOUNIDENSE,241.67,46.87,NUEVO SIN USO IMPORTADO,1,5447,5447,5447,5447,5735.54,KOMAC,KOMAC KB200SL,Martillo hidraulico,1.2 - 4.0,01. Chicas
ESTELAR RESOURCES LIMITED,201804,EE.UU.,FOB,49005.45,DOLAR ESTADOUNIDENSE,107.6,564.3,NUEVO SIN USO IMPORTADO,1,56328.1,56328.1,56328.1,56328.1,57000,CATERPILLAR,CATERPILLAR H130ES,Martillo hidraulico,18.0 - 36.0,03. Grande
CANTERAS SAN AGUSTIN SRL,201804,Corea Republicana,FOB,12876,DOLAR ESTADOUNIDENSE,31.2,162.27,NUEVO SIN USO IMPORTADO,1,14800,14800,14800,14800,14993.47,DOWIN,DOWIN DWT 200,Martillo hidraulico,18.0 - 26.0,03. Grande
MAQUIGOD S.R.L.,201804,Italia,FOB,2572.11,DOLAR ESTADOUNIDENSE,4.96,29.61,NUEVO SIN USO IMPORTADO,1,5201.73,5201.73,5201.73,5201.73,5236.3,SOCOMEC,SOCOMEC DMS 400,Martillo hidraulico,6.0 - 8.5,01. Chicas
MAQUIGOD S.R.L.,201804,Italia,FOB,7716.34,DOLAR ESTADOUNIDENSE,14.87,88.84,NUEVO SIN USO IMPORTADO,3,2449.15,7347.44,2449.15,7347.44,7451.15,SOCOMEC,SOCOMEC DMS 400,Martillo hidraulico,6.0 - 8.5,01. Chicas
MAQUIGOD S.R.L.,201804,Italia,FOB,2572.11,DOLAR ESTADOUNIDENSE,4.96,29.61,NUEVO SIN USO IMPORTADO,1,2233.09,2233.09,2233.09,2233.09,2267.66,SOCOMEC,SOCOMEC DMS 400,Martillo hidraulico,6.0 - 8.5,01. Chicas
ANGEL MASCIOTRA SOCIEDAD ANONIMA,201804,Corea Republicana,FOB,9425,DOLAR ESTADOUNIDENSE,78.5,109.12,NUEVO SIN USO IMPORTADO,1,7300,7300,7300,7300,7487.62,DAEMO,DAEMO B70,Martillo hidraulico,6.0 - 8.0,01. Chicas
ANGEL MASCIOTRA SOCIEDAD ANONIMA,201804,Corea Republicana,FOB,9425,DOLAR ESTADOUNIDENSE,78.5,109.12,NUEVO SIN USO IMPORTADO,1,6200,6200,6200,6200,6387.62,DAEMO,DAEMO B70,Martillo hidraulico,6.0 - 8.0,01. Chicas
ANGEL MASCIOTRA SOCIEDAD ANONIMA,201804,Corea Republicana,FOB,9425,DOLAR ESTADOUNIDENSE,78.5,109.12,NUEVO SIN USO IMPORTADO,1,19000,19000,19000,19000,19187.62,DAEMO,DAEMO B70,Martillo hidraulico,6.0 - 8.0,01. Chicas
GRUAS SAN BLAS S A,201804,Francia,FOB,15570.87,DOLAR ESTADOUNIDENSE,178.88,180.76,NUEVO SIN USO IMPORTADO,3,5965.85,17897.55,5965.85,17897.55,18257.19,BOBCAT,BOBCAT HB1180,Martillo hidraulico,4.0 - 5.0,01. Chicas
GRUAS SAN BLAS S A,201804,Francia,FOB,3945.71,DOLAR ESTADOUNIDENSE,45.33,45.81,NUEVO SIN USO IMPORTADO,1,4535.3,4535.3,4535.3,4535.3,4626.44,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
IGARRETA MAQUINAS SA,201804,Francia,FOB,17237.81,EURO,362.54,81.72,NUEVO SIN USO IMPORTADO,2,12382.94,24765.89,15285.56,30571.12,31015.38,MONTABERT,MONTABERT XL1700,Martillo hidraulico,18.0 - 28.0,03. Grande
IGARRETA MAQUINAS SA,201804,Francia,FOB,34475.62,EURO,725.09,163.45,NUEVO SIN USO IMPORTADO,4,10220.45,40881.82,12616.17,50464.7,51353.24,MONTABERT,MONTABERT XL1700,Martillo hidraulico,18.0 - 28.0,03. Grande
IGARRETA MAQUINAS SA,201804,Francia,FOB,17237.81,EURO,362.54,81.72,NUEVO SIN USO IMPORTADO,2,3994.18,7988.36,4930.43,9860.87,10305.13,MONTABERT,MONTABERT XL1700,Martillo hidraulico,18.0 - 28.0,03. Grande
IGARRETA MAQUINAS SA,201804,Francia,FOB,17237.81,EURO,362.54,81.72,NUEVO SIN USO IMPORTADO,2,3309.77,6619.54,4085.59,8171.19,8615.45,MONTABERT,MONTABERT XL1700,Martillo hidraulico,18.0 - 28.0,03. Grande
TECMACO INTEGRAL  S A,201804,Corea Republicana,FOB,10083.3,DOLAR ESTADOUNIDENSE,104.9,11.9,NUEVO SIN USO IMPORTADO,1,11590,11590,11590,11590,11706.8,POQUTEC,POQUTEC PBV180A,Martillo hidraulico,18.0 - 25.0,03. Grande
TECMACO INTEGRAL  S A,201804,Corea Republicana,FOB,6020.4,DOLAR ESTADOUNIDENSE,62.64,7.1,NUEVO SIN USO IMPORTADO,1,6920,6920,6920,6920,6989.74,POQUTEC,POQUTEC PBV100,Martillo hidraulico,9.0 - 16.0,02. Mediana
VENNER S.A.,201805,Japon,FOB,15642.6,DOLAR ESTADOUNIDENSE,158.45,181.39,NUEVO SIN USO IMPORTADO,2,8990,17980,8990,17980,18319.84,TOKU,TOKU TNB 6M TLBQC,Martillo hidraulico,5.5 - 8.0,01. Chicas
CERRO VANGUARDIA SOCIEDAD ANONIMA,201805,Japon,FOB,15680.01,DOLAR ESTADOUNIDENSE,365,183.88,NUEVO SIN USO IMPORTADO,1,18023,18023,18023,18023,18571.88,FURUKAWA,FURUKAWA FXJ125,Martillo hidraulico,9.0 - 16.0,02. Mediana
VENNER S.A.,201805,Japon,FOB,25882.5,DOLAR ESTADOUNIDENSE,262.18,300.12,NUEVO SIN USO IMPORTADO,5,5950,29750,5950,29750,30312.3,TOKU,TOKU TNB 4MSSL,Martillo hidraulico,3.0 - 4.5,01. Chicas
VENNER S.A.,201805,Japon,FOB,17182.5,DOLAR ESTADOUNIDENSE,174.05,199.24,NUEVO SIN USO IMPORTADO,5,3950,19750,3950,19750,20123.29,TOKU,TOKU TNB 2MSSL,Martillo hidraulico,1.5 - 2.5,01. Chicas
VENNER S.A.,201805,Japon,FOB,15642.6,DOLAR ESTADOUNIDENSE,158.45,181.39,NUEVO SIN USO IMPORTADO,2,8990,17980,8990,17980,18319.84,TOKU,TOKU TNB 6M TLBQC,Martillo hidraulico,5.5 - 8.0,01. Chicas
VENNER S.A.,201805,Japon,FOB,25882.5,DOLAR ESTADOUNIDENSE,262.18,300.12,NUEVO SIN USO IMPORTADO,5,5950,29750,5950,29750,30312.3,TOKU,TOKU TNB 4MSSL,Martillo hidraulico,3.0 - 4.5,01. Chicas
VENNER S.A.,201805,Japon,FOB,17182.5,DOLAR ESTADOUNIDENSE,174.05,199.24,NUEVO SIN USO IMPORTADO,5,3950,19750,3950,19750,20123.29,TOKU,TOKU TNB 2MSSL,Martillo hidraulico,1.5 - 2.5,01. Chicas
TECMACO INTEGRAL  S A,201805,Corea Republicana,FOB,20166.6,DOLAR ESTADOUNIDENSE,209.82,23.87,NUEVO SIN USO IMPORTADO,2,11590,23180,11590,23180,23413.69,POQUTEC,POQUTEC PBV180,Martillo hidraulico,18.0 - 25.0,03. Grande
TECMACO INTEGRAL  S A,201805,Corea Republicana,FOB,6020.4,DOLAR ESTADOUNIDENSE,62.64,7.13,NUEVO SIN USO IMPORTADO,1,6920,6920,6920,6920,6989.77,POQUTEC,POQUTEC PBV100,Martillo hidraulico,9.0 - 16.0,02. Mediana
VENNER S.A.,201805,Japon,FOB,7821.3,DOLAR ESTADOUNIDENSE,79.23,90.69,NUEVO SIN USO IMPORTADO,1,8990,8990,8990,8990,9159.92,TOKU,TOKU TNB 6M TLBQC,Martillo hidraulico,5.5 - 8.0,01. Chicas
REPAS S A,201805,Corea Republicana,FOB,1892.07,DOLAR ESTADOUNIDENSE,282.55,95.86,NUEVO SIN USO IMPORTADO,3,4723.863,14171.59,4723.863,14171.59,14550,SOOSAN,SOOSAN SB43 TS P,Martillo hidraulico,6.0 - 9.0,01. Chicas
REPAS S A,201805,Corea Republicana,FOB,1067.21,DOLAR ESTADOUNIDENSE,159.37,54.07,NUEVO SIN USO IMPORTADO,1,19190,19189.59,19189.59,19189.59,19403.03,SOOSAN,SOOSAN Q81A03,Martillo hidraulico,18.0 - 26.0,03. Grande
REPAS S A,201805,Corea Republicana,FOB,1067.21,DOLAR ESTADOUNIDENSE,159.37,54.07,NUEVO SIN USO IMPORTADO,1,3214.17,3214.17,3214.17,3214.17,3427.61,SOOSAN,SOOSAN SB35 TS P,Martillo hidraulico,3.0 - 5.5,01. Chicas
REPAS S A,201805,Corea Republicana,FOB,2134.41,DOLAR ESTADOUNIDENSE,318.74,108.14,NUEVO SIN USO IMPORTADO,2,3506.37,7012.74,3506.37,7012.74,7439.62,SOOSAN,SOOSAN SB40,Martillo hidraulico,2.8 - 5.0,01. Chicas
REPAS S A,201805,Corea Republicana,FOB,2134.41,DOLAR ESTADOUNIDENSE,318.74,108.14,NUEVO SIN USO IMPORTADO,2,6915.35,13830.69,6915.35,13830.69,14257.57,SOOSAN,SOOSAN SB50,Martillo hidraulico,11.0 - 16.0,02. Mediana
REPAS S A,201805,Corea Republicana,FOB,4268.83,DOLAR ESTADOUNIDENSE,637.48,216.29,NUEVO SIN USO IMPORTADO,4,11561.28,46245.14,11561.28,46245.14,47098.91,SOOSAN,SOOSAN SB70 TS P,Martillo hidraulico,16.0 - 21.0,02. Mediana
REPAS S A,201805,Corea Republicana,FOB,2134.41,DOLAR ESTADOUNIDENSE,318.74,108.14,NUEVO SIN USO IMPORTADO,2,3214.18,6428.35,3214.18,6428.35,6855.23,SOOSAN,SOOSAN SB35 TS P,Martillo hidraulico,3.0 - 5.5,01. Chicas
CANTERAS CERRO REDONDO S.A.,201805,Corea Republicana,FOB,34800,DOLAR ESTADOUNIDENSE,177.19,200.88,NUEVO SIN USO IMPORTADO,1,40000,40000,40000,40000,40378.07,SOOSAN,SOOSAN SQ150,Martillo hidraulico,40.0 - 55.0,04. Muy Grande
GRUAS SAN BLAS S A,201805,Francia,FOB,15782.84,DOLAR ESTADOUNIDENSE,181.8,183.23,NUEVO SIN USO IMPORTADO,4,4535.3,18141.2,4535.3,18141.2,18506.23,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
VENNER S.A.,201805,Japon,FOB,7821.3,DOLAR ESTADOUNIDENSE,79.23,90.69,NUEVO SIN USO IMPORTADO,1,8990,8990,8990,8990,9159.92,TOKU,TOKU TNB 6M TLBQC,Martillo hidraulico,5.5 - 8.0,01. Chicas
GRUAS SAN BLAS S A,201805,Francia,FOB,15782.84,DOLAR ESTADOUNIDENSE,90.9,91.62,NUEVO SIN USO IMPORTADO,4,4535.3,18141.2,4535.3,18141.2,18323.72,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
TRACK MAR SACI,201806,Italia,FOB,4968.32,DOLAR ESTADOUNIDENSE,27.87,28.69,NUEVO SIN USO IMPORTADO,1,7288.55,7288.55,7288.55,7288.55,7345.11,ITR,ITR UEH1000PSA,Martillo hidraulico,12.0  - 23.0,02. Mediana
TRACK MAR SACI,201806,Italia,FOB,4968.32,DOLAR ESTADOUNIDENSE,27.87,28.69,NUEVO SIN USO IMPORTADO,1,11479.46,11479.46,11479.46,11479.46,11536.02,ITR,ITR UEH1300PSA,Martillo hidraulico,17.0 - 25.0,03. Grande
TRACK MAR SACI,201806,Italia,FOB,4968.32,DOLAR ESTADOUNIDENSE,27.87,28.69,NUEVO SIN USO IMPORTADO,1,3543.04,3543.04,3543.04,3543.04,3599.6,ITR,ITR UEH270B,Martillo hidraulico,6.0 - 9.0,01. Chicas
TRACK MAR SACI,201806,Italia,FOB,9936.64,DOLAR ESTADOUNIDENSE,55.73,57.39,NUEVO SIN USO IMPORTADO,2,4774,9548,4774,9548,9661.12,ITR,ITR UEH400PSA,Martillo hidraulico,5.0 - 11.0,01. Chicas
CENTRO VIAL SRL,201806,Italia,FOB,586.67,DOLAR ESTADOUNIDENSE,24.84,17.25,NUEVO SIN USO IMPORTADO,2,1928.39,3856.79,1928.39,3856.79,3898.88,SOCOMEC,SOCOMEC DMS 165,Martillo hidraulico,1.9 - 3.0,01. Chicas
CENTRO VIAL SRL,201806,Italia,FOB,293.33,DOLAR ESTADOUNIDENSE,12.42,8.63,NUEVO SIN USO IMPORTADO,1,4731.21,4731.21,4731.21,4731.21,4752.26,SOCOMEC,SOCOMEC DMS 400,Martillo hidraulico,6.0 - 8.5,01. Chicas
TYMAQ S R L,201806,Italia,FOB,275,DOLAR ESTADOUNIDENSE,13.87,10.27,NUEVO SIN USO IMPORTADO,1,2568.78,2568.78,2568.78,2568.78,2592.92,SOCOMEC,SOCOMEC DMS 210,Martillo hidraulico,2.8 - 4.5,01. Chicas
TYMAQ S R L,201806,Italia,FOB,275,DOLAR ESTADOUNIDENSE,13.87,10.27,NUEVO SIN USO IMPORTADO,1,4247.76,4247.76,4247.76,4247.76,4271.9,SOCOMEC,SOCOMEC DMS 300,Martillo hidraulico,4.5 - 6.0,01. Chicas
CRECIMIENTO S.A.,201806,Italia,FOB,600,DOLAR ESTADOUNIDENSE,25.14,17.56,NUEVO SIN USO IMPORTADO,2,4731.1,9462.21,4731.1,9462.21,9504.91,SOCOMEC,SOCOMEC DMS 400,Martillo hidraulico,6.0 - 8.5,01. Chicas
CRECIMIENTO S.A.,201806,Italia,FOB,600,DOLAR ESTADOUNIDENSE,25.14,17.56,NUEVO SIN USO IMPORTADO,2,1928.32,3856.64,1928.32,3856.64,3899.34,SOCOMEC,SOCOMEC DMS 165,Martillo hidraulico,1.9 - 3.0,01. Chicas
CRECIMIENTO S.A.,201806,Italia,FOB,300,DOLAR ESTADOUNIDENSE,12.57,8.78,NUEVO SIN USO IMPORTADO,1,1594.19,1594.19,1594.19,1594.19,1615.54,SOCOMEC,SOCOMEC DMS 95 2,Martillo hidraulico,1.2 - 1.8,01. Chicas
CRECIMIENTO S.A.,201806,Italia,FOB,300,DOLAR ESTADOUNIDENSE,12.57,8.78,NUEVO SIN USO IMPORTADO,1,2568.41,2568.41,2568.41,2568.41,2589.76,SOCOMEC,SOCOMEC DMS 210,Martillo hidraulico,2.8 - 4.5,01. Chicas
CRECIMIENTO S.A.,201806,Italia,FOB,487.5,DOLAR ESTADOUNIDENSE,24.38,17.02,NUEVO SIN USO IMPORTADO,1,10569.54,10569.54,10569.54,10569.54,10610.94,SOCOMEC,SOCOMEC DMS 980,Martillo hidraulico,10.0 - 14.0,02. Mediana
CRECIMIENTO S.A.,201806,Italia,FOB,487.5,DOLAR ESTADOUNIDENSE,24.38,17.02,NUEVO SIN USO IMPORTADO,1,2568.41,2568.41,2568.41,2568.41,2609.81,SOCOMEC,SOCOMEC DMS 210,Martillo hidraulico,2.8 - 4.5,01. Chicas
CRECIMIENTO S.A.,201806,Italia,FOB,975,DOLAR ESTADOUNIDENSE,48.76,34.05,NUEVO SIN USO IMPORTADO,2,4731.03,9462.06,4731.03,9462.06,9544.87,SOCOMEC,SOCOMEC DMS 400,Martillo hidraulico,6.0 - 8.5,01. Chicas
EQUIPOS COMPACTOS SRL,201806,Italia,FOB,600,DOLAR ESTADOUNIDENSE,41,28.91,NUEVO SIN USO IMPORTADO,3,2783.29,8349.86,2783.29,8349.86,8419.77,SOCOMEC,SOCOMEC DMS 210,Martillo hidraulico,2.8 - 4.5,01. Chicas
EQUIPOS COMPACTOS SRL,201806,Italia,FOB,400,DOLAR ESTADOUNIDENSE,27.34,19.28,NUEVO SIN USO IMPORTADO,2,1928.2,3856.41,1928.2,3856.41,3903.03,SOCOMEC,SOCOMEC DMS 165,Martillo hidraulico,1.9 - 3.0,01. Chicas
EQUIPOS COMPACTOS SRL,201806,Italia,FOB,400,DOLAR ESTADOUNIDENSE,27.34,19.28,NUEVO SIN USO IMPORTADO,2,4327.39,8654.78,4327.39,8654.78,8701.4,SOCOMEC,SOCOMEC DMS 300,Martillo hidraulico,4.5 - 6.0,01. Chicas
EQUIPOS COMPACTOS SRL,201806,Italia,FOB,200,DOLAR ESTADOUNIDENSE,13.67,9.64,NUEVO SIN USO IMPORTADO,1,4730.75,4730.75,4730.75,4730.75,4754.06,SOCOMEC,SOCOMEC DMS 400,Martillo hidraulico,6.0 - 8.5,01. Chicas
CENTRO VIAL SRL,201806,Italia,FOB,500,DOLAR ESTADOUNIDENSE,23.44,16.28,NUEVO SIN USO IMPORTADO,2,1928.39,3856.79,1928.39,3856.79,3896.51,SOCOMEC,SOCOMEC DMS 165,Martillo hidraulico,1.9 - 3.0,01. Chicas
CENTRO VIAL SRL,201806,Italia,FOB,250,DOLAR ESTADOUNIDENSE,11.72,8.14,NUEVO SIN USO IMPORTADO,1,4247.3,4247.3,4247.3,4247.3,4267.16,SOCOMEC,SOCOMEC DMS 300,Martillo hidraulico,4.5 - 6.0,01. Chicas
SULLAIR ARGENTINA S A,201806,Corea Republicana,FOB,46213.49,DOLAR ESTADOUNIDENSE,1416.35,38.17,NUEVO SIN USO IMPORTADO,10,4738,47376,4737.6,47376,48830.52,MSB,MSB MS300HS,Martillo hidraulico,5.0  - 10.0,01. Chicas
SULLAIR ARGENTINA S A,201806,Corea Republicana,FOB,9242.7,DOLAR ESTADOUNIDENSE,283.27,7.63,NUEVO SIN USO IMPORTADO,2,21240,42480.4,21240.2,42480.4,42771.3,MSB,MSB MS810HS,Martillo hidraulico,30  - 45,04. Muy Grande
SULLAIR ARGENTINA S A,201806,Corea Republicana,FOB,18485.4,DOLAR ESTADOUNIDENSE,566.54,15.27,NUEVO SIN USO IMPORTADO,4,2618,10471.6,2617.9,10471.6,11053.41,MSB,MSB SAGA40H,Martillo hidraulico,3.0  - 6.0,01. Chicas
REPAS S A,201806,Corea Republicana,FOB,2870,DOLAR ESTADOUNIDENSE,53.41,164.14,NUEVO SIN USO IMPORTADO,10,3275.48,32754.8,3275.48,32754.8,32972.35,SOOSAN,SOOSAN SB35 TS P,Martillo hidraulico,3.0 - 5.5,01. Chicas
RUSCONI ALDO FLAVIO RUSCONI OS,201806,Japon,FOB,8912.28,DOLAR ESTADOUNIDENSE,510.19,8.98,NUEVO SIN USO IMPORTADO,2,5122,10244,5122,10244,10763.17,FURUKAWA,FURUKAWA FX45A SS,Martillo hidraulico,2.5 - 5.5,01. Chicas
GRUAS SAN BLAS S A,201807,FRANCIA,TRANSITO,19728.56,DOLAR ESTADOUNIDENSE,169.74,228.46,NUEVO SIN USO IMPORTADO,5,4535.3,22676.5,4535.3,22676.5,23074.7,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
GRUAS SAN BLAS S A,201807,FRANCIA,TRANSITO,25951.45,DOLAR ESTADOUNIDENSE,223.28,300.53,NUEVO SIN USO IMPORTADO,5,5965.85,29829.25,5965.85,29829.25,30353.06,BOBCAT,BOBCAT HB1180,Martillo hidraulico,4.0 - 5.0,01. Chicas
GRUAS SAN BLAS S A,201807,FRANCIA,Z.FRANCA,3945.71,DOLAR ESTADOUNIDENSE,43.74,45.89,NUEVO SIN USO IMPORTADO,1,4535.3,4535.3,4535.3,4535.3,4624.93,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
